브랜드명,총건수,지점명비율,표기변형목록,대표주소예시,판정,판정근거,경계사례
신광상회,9,0.00,,부산광역시 중구 자갈치해안로 52 (남포동4가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
화성상회,9,0.00,,부산광역시 서구 충무대로 226(남부민동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
양지상회,9,0.00,,부산광역시 서구 충무대로 214 (남부민동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
우성상회,9,0.00,,부산광역시 서구 충무대로 214(남부민동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
도도,9,0.00,,부산광역시 중구 중앙대로 지하17 (중앙동6가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
성원상회,9,0.00,,부산광역시 사상구 농산물시장로25번길 70(엄궁동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
신안상회,9,0.00,,부산광역시 사상구 농산물시장로25번길 70(엄궁동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
중앙수산,9,0.11,,부산광역시 사상구 농산물시장로25번길 70(엄궁동),제외,빈도 9·지점비율 11% <40% → 일반상호 제외,Y
크림,9,0.00,,부산광역시 동구 범일로65번길 23(범일동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
세사리빙,9,0.33,,부산광역시 동구 진시장로 24 (범일동),제외,빈도 9·지점비율 33% <40% → 일반상호 제외,Y
에이스,9,0.00,,부산광역시 동구 조방로 48(범일동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
마리,9,0.00,,부산광역시 부산진구 자유평화로 7 (범천동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
대성식품,9,0.00,,부산광역시 부산진구 범일로154번길 28 (범천동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
동성상회,9,0.00,,부산광역시 사상구 새벽로 141(감전동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
첼로,9,0.11,,부산광역시 사상구 광장로 7(괘법동),제외,빈도 9·지점비율 11% <40% → 일반상호 제외,Y
화이트화장품,9,0.11,,부산광역시 부산진구 중앙대로769번길 9 (부전동),제외,빈도 9·지점비율 11% <40% → 일반상호 제외,Y
대양수산,9,0.00,,부산광역시 부산진구 부전로174번길 31-9(부전동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
삼화상회,9,0.00,,부산광역시 부산진구 중앙대로775번길 31 (부전동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
해남상회,9,0.00,,부산광역시 수영구 민락수변로 1(민락동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
신선야채,9,0.00,,부산광역시 사상구 사상로481번길 29(모라동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
궁중떡집,9,0.00,,부산광역시 해운대구 재반로 81-24(재송동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
장호덕손만두,9,0.33,,부산광역시 금정구 금정로 59-8 (장전동),제외,빈도 9·지점비율 33% <40% → 일반상호 제외,Y
체이스컬트,9,0.22,,경기도 평택시 안중읍 안중로 110-6,제외,빈도 9·지점비율 22% <40% → 일반상호 제외,Y
멋쟁이,9,0.00,,경기도 평택시 중앙시장로 16-6(신장동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
우리홈마트,9,0.00,,경기도 화성시 우정읍 조암동로 58 (화성조암 한라비발디 아파트),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
양평해장국,9,0.00,,경기도 수원시 권선구 세권로 185 (권선동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
코스모스,9,0.00,,경기도 수원시 팔달구 향교로1번길 8 (매산로1가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
꼼빠니아,9,0.11,,경기도 수원시 팔달구 동말로 72(화서동),제외,빈도 9·지점비율 11% <40% → 일반상호 제외,Y
이모네,9,0.00,,경기도 수원시 팔달구 팔달문로 19 (지동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
칼라,9,0.00,,경기도 안산시 상록구 석호로 315 (본오동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
명동칼국수,9,0.11,,경기도 시흥시 중심상가2길 22 (정왕동),제외,빈도 9·지점비율 11% <40% → 일반상호 제외,Y
소풍,9,0.00,,경기도 군포시 산본로 339 (산본동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
고흥수산,9,0.00,,인천광역시 남동구 장도로 86-17 (논현동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
예산상회,9,0.00,,인천광역시 남동구 장도로 86-17 (논현동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
전주집,9,0.00,,경기도 안양시 만안구 장내로 119 (안양동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
날개,9,0.00,,인천광역시 미추홀구 낙섬중로32번길 10 (용현동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
온양상회,9,0.00,,인천광역시 미추홀구 경원대로858번길 20(주안동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
호남식당,9,0.00,,경기도 광명시 광화로 14-9 (광명동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
황금축산,9,0.00,,서울특별시 관악구 남부순환로248길 17(봉천동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
루비,8,0.00,,부산광역시 영도구 남항로49번길 5 (영선동2가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
대신상회,8,0.00,,부산광역시 강서구 신포길 11-13 (명지동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
부일상회,8,0.00,,부산광역시 강서구 신포길 13-2 (명지동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
동해상회,8,0.00,,"부산광역시 사하구 괴정로 219(괴정동, 사하시장)",제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
시장약국,8,0.00,,부산광역시 사하구 낙동대로 207 (괴정동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
동진상회,8,0.00,,부산광역시 사하구 낙동대로189번길 16(괴정동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
영일상회,8,0.00,,부산광역시 중구 보수대로 94 (보수동3가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
나무,8,0.00,,부산광역시 중구 부평2길 57-2 (부평동2가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
영신상회,8,0.00,,부산광역시 중구 중구로39번길 16(부평동1가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
미소,8,0.00,,부산광역시 중구 부평3길 34(부평동1가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
신일상회,8,0.00,,부산광역시 중구 국제시장2길 15 (신창동4가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
제일농산,8,0.00,,부산광역시 서구 충무대로256번길 13 (충무동1가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
개성시대,8,0.00,,부산광역시 중구 광복로39번길 14(신창동2가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
명동찌개마을,8,0.25,,부산광역시 서구 구덕로301번길 27 (서대신동2가),제외,빈도 8·지점비율 25% <40% → 일반상호 제외,Y
대성수산,8,0.00,,부산광역시 중구 자갈치로 42(남포동5가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
팔도상회,8,0.00,,부산광역시 중구 자갈치로 42(남포동5가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
한진상회,8,0.00,,부산광역시 중구 자갈치로 42(남포동5가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
대박,8,0.00,,부산광역시 중구 구덕로 지하44(남포동5가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
일성상회,8,0.00,,부산광역시 중구 자갈치해안로 52 (남포동4가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
